"Station","Lat","Long"
"ET071.00",44.88786,-67.13744
"ET074.00",44.89754,-67.11282
"ET077.00",44.92384,-67.15067
"ET079.00",44.9364,-67.16526
"ET085.00",44.93981,-67.16016
"ET088.00",44.93318,-67.13801
"ET090.00",44.94041,-67.13567
"ET091.00",44.95624,-67.13729
"ET095.00",44.91695,-67.07713
"ET097.00",44.93742,-67.04986
"ET099.00",44.95105,-67.04049
"ET100.00",44.93886,-67.03447
"ET100.20",44.92854,-67.03497
"ET103.10",44.92331,-67.01524
"ET104.00",44.9087,-67.01976
"EU001.00",44.90507,-67.0119
"EU001.50",44.90147,-67.00176
"EU002.50",44.89526,-66.99161
"EU007.00",44.91784,-66.99714
"EU008.00",44.91951,-67.00211
"EU009.00",44.92638,-67.01534
"EU010.00",44.93882,-67.02987
"EU015.00",44.97403,-67.07002
"EU016.00",44.97115,-67.05704
"EU017.00",44.99336,-67.06325
"EU020.00",45.03349,-67.10097
"EU022.00",45.05811,-67.11757
"EU022.50",45.05928,-67.10909
"EU025.00",45.08304,-67.10917
"EU026.00",45.09194,-67.11604
"EU027.00",45.1048800001077,-67.1268699994894
"WA015.00",43.09694,-70.76786
"WA016.00",43.10266,-70.7727
"WA024.00",43.08273,-70.71767
"WA028.00",43.11243,-70.73306
"WA029.10",43.10833,-70.73577
"WA031.00",43.1071,-70.72816
"WA033.00",43.09613,-70.72364
"WA035.00",43.08727,-70.71774
"WA036.00",43.08479,-70.71157
"WA038.00",43.08316,-70.69501
"WA043.00",43.06722,-70.69354
"WB005.00",43.09808,-70.66119
"WB020.00",43.14119,-70.69323
"WB021.00",43.1421,-70.676
"WB023.00",43.13679,-70.66044
"WB026.00",43.12536,-70.65196
"WB026.50",43.12655,-70.64745
"WB027.00",43.13269,-70.64208
"WB029.00",43.13263,-70.63886
"WD007.00",43.25077,-70.59715
"WD007.50",43.25414,-70.59557
"WD008.00",43.25955,-70.59492
"WD009.00",43.26304,-70.59122
"WD009.50",43.2666,-70.589
"WD010.00",43.25037,-70.59336
"WD014.00",43.30408,-70.5767
"WD016.00",43.30829,-70.56893
"WD018.50",43.32135,-70.56538
"WD019.00",43.32033,-70.56397
"WD020.00",43.32923,-70.56583
"WD022.00",43.33068,-70.55785
"WD024.00",43.32122,-70.55673
"WD028.00",43.33942,-70.52868
"WD031.00",43.34416,-70.51807
"WD036.00",43.34364,-70.50644
"WD037.00",43.344,-70.49935
"WD038.00",43.34478,-70.48682
"WE004.00",43.35672,-70.44597
"WE005.00",43.36735,-70.44016
"WE006.00",43.36747,-70.43714
"WE008.00",43.36905,-70.4308
"WE010.00",43.36583,-70.43156
"WE010.20",43.36616,-70.43028
"WE011.00",43.37675,-70.43541
"WE013.00",43.37471,-70.42992
"WE018.50",43.39016,-70.43962
"WE020.00",43.38884,-70.43004
"WE022.00",43.38386,-70.42536
"WE023.00",43.39522,-70.42609
"WE024.50",43.3959,-70.42154
"WE027.00",43.40335,-70.40235
"WE028.00",43.40224,-70.39904
"WE030.00",43.40703,-70.39786
"WF004.50",43.42619,-70.37719
"WF006.00",43.43609,-70.36828
"WF006.10",43.44187,-70.35183
"WG005.00",43.45906,-70.37469
"WG007.00",43.45093,-70.36312
"WG008.10",43.44665,-70.35562
"WG008.30",43.4401,-70.36485
"WG008.50",43.43685,-70.36961
"WG008.60",43.4445,-70.3725
"WG008.80",43.45395,-70.37256
"WG008.90",43.45012,-70.36388
"WG020.00",43.53048,-70.36009
"WG021.00",43.54067,-70.33676
"WG024.70",43.5631,-70.36678
"WG025.00",43.55814,-70.35745
"WG026.50",43.56046,-70.3497
"WG027.00",43.55656,-70.3487
"WG032.00",43.54679,-70.34777
"WG032.50",43.54866,-70.34399
"WG033.00",43.56345,-70.33375
"WG034.00",43.56741,-70.32322
"WG035.00",43.57047,-70.32263
"WG036.00",43.5556,-70.3367
"WG037.00",43.55105,-70.33784
"WG038.00",43.54457,-70.33416
"WG039.00",43.54768,-70.32635
"WG041.00",43.55146,-70.31873
"WG044.00",43.54342,-70.32288
"WG046.00",43.53049,-70.32234
"WH001.00",43.53826,-70.31192
"WH002.00",43.5507,-70.29964
"WH004.00",43.55993,-70.27956
"WH010.00",43.57395,-70.27219
"WH011.00",43.56597,-70.27323
"WH014.00",43.56143,-70.27103
"WH016.00",43.55341,-70.25033
"WH017.00",43.56182,-70.2192
"WI010.70",43.70765,-70.24481
"WI010.80",43.69755,-70.24464
"WI015.00",43.70604,-70.21749
"WI017.00",43.71211,-70.21852
"WI017.50",43.71672,-70.21701
"WI019.00",43.71539,-70.21934
"WI020.00",43.72108,-70.22167
"WI025.00",43.73248,-70.20447
"WI026.00",43.73619,-70.20222
"WI027.00",43.74082,-70.19634
"WI028.50",43.75522,-70.1976
"WI029.00",43.75819,-70.19577
"WI030.00",43.76817,-70.1953
"WI033.00",43.7755,-70.1816
"WI034.10",43.76287,-70.17878
"WI036.00",43.76213,-70.17249
"WI038.00",43.77171,-70.1654
"WI040.00",43.77507,-70.1531
"WI041.00",43.7814,-70.15307
"WI048.00",43.79069,-70.1504
"WI051.00",43.81217,-70.15349
"WI051.50",43.81203,-70.15463
"WI053.00",43.80664,-70.15322
"WI054.00",43.79695,-70.1504
"WI055.00",43.79783,-70.13913
"WI055.20",43.80126,-70.1384
"WI055.50",43.79552,-70.13665
"WI056.00",43.79878,-70.1272
"WI056.70",43.80733,-70.10747
"WI058.50",43.77377,-70.14555
"WI058.80",43.77329,-70.13201
"WI061.00",43.77129,-70.12549
"WI062.00",43.7726,-70.12756
"WI063.00",43.76517,-70.13472
"WI064.00",43.75862,-70.13727
"WI065.50",43.76154,-70.12219
"WI069.00",43.75192,-70.13979
"WI071.00",43.74866,-70.15122
"WI074.00",43.75687,-70.15068
"WI077.00",43.75184,-70.10819
"WI083.00",43.7243,-70.13942
"WI088.00",43.718,-70.12568
"WI089.00",43.71595,-70.12654
"WI090.00",43.71492,-70.11882
"WI092.00",43.72164,-70.11173
"WI093.00",43.72995,-70.10935
"WI095.00",43.75434,-70.09607
"WI116.00",43.70913,-70.07869
"WJ001.00",43.80736,-70.10872
"WJ001.20",43.8109,-70.1099
"WJ001.50",43.80416,-70.11655
