"","Station","median","igr","gmean","p90","nlog","median_ml","iqr_ml","gmean_ml","p90_ml","nlog_ml"
"74","WJ017.50",4,16,6.56535122077791,46.4,69,4,17.3849796734414,4.19942074591741,46.4,69
"75","WJ018.00",5.75,20,8.5001091557618,82,66,5.75,21.3684485557235,6.1442632863978,82,66
"76","WJ018.60",2,2,3.63779667850037,22,31,2,3.38167992641565,2.05582577130122,22,31
"77","WJ019.00",2,4,4.62372388969249,24,31,0.641644646319765,5.39760797852434,2.49130498592741,24,31
"78","WJ024.00",2,0,3.23654031498602,8,31,0.648539328232697,1.38297187692901,1.69707281809793,8,31
"79","WJ026.00",2,2,4.16515353891439,22,31,0.646576666586342,3.38710325703222,2.26251614064005,22,31
"80","WJ027.30",2,0,2.32049402097921,2.16,30,0.613810635280125,1.40348370835421,1.0032033923956,2.16,30
"81","WJ027.50",2,0,2.87798374106833,11.1,30,0.619932517070877,1.39021874073626,1.2566356190488,11.1,30
"82","WJ031.50",2,0,2.99042591210346,13.4,32,0.639758383029929,1.38976169356948,1.48834531973853,13.4,32
"83","WJ032.50",2,5.65,4.12701146833004,15.8,43,2,7.02965573930192,2.51715120834768,15.8,43
"84","WJ033.20",2,4.5,3.83127682443411,16,36,2,4.5,2.94438281880392,16,36
"85","WJ034.00",2,11,6.28861863873864,64.8,55,2,12.386322891821,3.99395302316668,64.8,55
"86","WJ035.00",2,0,3.14050812502104,20,31,0.624406505398068,1.39097021104528,1.35583041963585,20,31
"87","WJ038.00",2,0,2.32804924041575,2.40000000000001,30,0.621724610972731,1.0558902716446,0.974791735446653,2.40000000000001,30
"88","WJ046.00",2,0,2.66004008060194,4,31,0.619894743277612,0.71070879462718,1.10534173407106,4,31
"89","WJ047.00",2,0,2.44044394326057,2.40000000000001,49,0.61569475750107,0.0327509930417756,0.946888211662589,2.40000000000001,49
"90","WJ048.00",2,1.5,3.07141223732461,12,30,0.628597095326749,2.88740446486876,1.51028491026033,12,30
"91","WJ048.50",2,5.5,4.22837979455605,23.4,30,2,6.88572339963233,2.43265736416782,23.4,30
"92","WJ049.00",2,6.325,4.0455796228611,16.6,58,2,7.7130773387383,2.52352028553,16.6,58
"93","WJ049.50",2,0,2.89609277365116,8.2,30,0.618498744104338,1.39405101025535,1.36411172748383,8.2,30
"94","WJ050.50",2,0,2.88613188819045,6.70000000000001,30,0.635162870677576,1.40188077026642,1.46679402746878,6.70000000000001,30
"95","WJ051.00",2,2,3.54131374935232,16.1,30,0.636180833082407,3.39715365526657,1.80095387614915,16.1,30
"96","WJ055.00",2,0,2.25375522038165,2.2,30,0.619962798722456,0.0263891988205229,0.843409756019724,2.2,30
"97","WJ056.00",2,0,2.62664303106162,4,31,0.623012068889906,0.0274528722620699,1.05745233013652,4,31
"98","WJ057.00",2,0,2.59534348928891,7.48,30,0.635740878846871,1.38770565472527,1.14204365483967,7.48,30
"99","WJ058.00",2,16.5,6.01042669688476,74.6,30,1.32614197378791,17.8859128649963,3.32992944842392,74.6,30
"100","WJ059.00",2,0,2.34633609943693,5.55,30,0.612490790193563,0.0505132526049449,0.941408289102178,5.55,30
"101","WJ060.00",2,0,3.12593909718634,8,31,0.626179930991495,1.38975341607985,1.40888499341393,8,31
"102","WJ062.00",2,0,2.64736523253918,4,53,0.61403804116308,0.0317301116582021,1.05520444496122,4,53
"103","WJ063.00",2,0,2.31211542171911,3.6,53,0.626218289950639,1.39401302115228,0.972279793534111,3.6,53
"104","WJ064.00",2,0,2.6792904310207,4,53,0.621442089154051,1.39623031224313,1.16836152212414,4,53
"105","WJ065.00",2,0,2.66096691832463,6,54,0.62530759549079,1.39036674645403,1.29039816167662,6,54
"106","WJ066.00",2,1.5,3.13054396479676,9.40000000000001,54,0.634937389481378,2.88631723486595,1.62566001575375,9.40000000000001,54
"107","WJ067.00",2,0,3.51767145668866,16.6000000000001,30,0.620441698814721,1.39514220994032,1.65406312818139,16.6000000000001,30
"108","WJ068.50",2,2,2.96699240852425,6.31,30,0.619434618505579,3.39526690728303,1.44784907624157,6.31,30
"109","WJ070.00",2,1.5,2.88768822653259,9.1,30,0.61828194646908,2.89497755813182,1.2591042477344,9.1,30
"110","WK002.00",2,0,3.33468992052549,7.60000000000001,32,0.624325737649841,1.3966067542852,1.42386995757455,7.60000000000001,32
"111","WK004.00",2,0,2.58845337409185,4,32,0.616021759252658,1.40311373100261,1.09638170760937,4,32
"112","WK005.50",2,0.5,2.69935527058022,5.95,32,0.634714767901334,1.89023070180829,1.33524273939061,5.95,32
"113","WK007.00",2,0,2.27886063840179,2,33,0.614303015822076,0.0449587474006736,0.862641391774988,2,33
"114","WK007.10",5.65,27.5,8.52545560833809,40,32,5.65,28.8805045660542,5.29108617008012,40,32
"115","WK008.00",2,4.325,3.6747537924229,12.71,32,2,5.71075837653137,2.26510678499411,12.71,32
"116","WK009.00",2,7.325,4.24821748449243,23.6,32,0.649115164553082,8.71084555113868,2.26904207376121,23.6,32
"117","WK010.00",2,4,3.81952660380987,34.4,32,0.631338490648409,5.386125280193,1.89332647543835,34.4,32
"118","WK011.00",4,10,5.45241715846518,34.6,57,4,11.3796683306528,3.38284119934381,34.6,57
"119","WK012.00",2,2.375,3.27287262096228,8.99,32,0.628694511542219,3.76634436318041,1.61790825397511,8.99,32
"120","WK013.10",2,0,2.96068747040923,4,32,0.626018713811044,1.39268147723095,1.31138695964451,4,32
"121","WK013.20",2,0,2.51645702727661,6,31,0.620036478025667,0.709417267040329,1.04713772151715,6,31
"122","WK013.30",2,3,4.80527582020261,24.7,32,0.622960866994766,4.39313452650642,2.45862118323312,24.7,32
"123","WK014.00",2,0,2.52088574214856,6,30,0.630142992746718,1.38851514028114,1.23862589832995,6,30
"124","WK014.10",4,4.325,5.06481166256923,30.5,56,4,5.70717833085984,3.37839304393399,30.5,56
"125","WK014.20",2,0,2.27547134203812,2.2,30,0.623944486404643,1.38786309832942,0.995936674326479,2.2,30
"126","WK014.30",2,0,2.454924786116,4.2,30,0.619719511080742,1.04992280852424,1.0320192214505,4.2,30
"127","WK014.40",2,0,2.13603195550262,2.16,30,0.620435424440362,0.0266106379769593,0.828874757797898,2.16,30
"128","WK015.10",2,0,3.49906353086605,21.2,32,0.629963196029526,1.38607037223958,1.67307562576752,21.2,32
"129","WK017.00",2,8.5,5.23256262694894,33.6000000000001,39,2,9.87880565721717,3.13143124842967,33.6000000000001,39
"130","WK018.00",2,0,2.25375522038165,4,30,0.618019949133385,1.05300005940305,0.940313436287085,4,30
"131","WK018.10",2,0,2.4265009200776,4.2,30,0.611565795597621,1.40229720857213,1.05177386725819,4.2,30
"132","WK019.80",2,1,3.51379891079002,19.8,32,1.31953416643524,2.38792307912882,1.93553036589593,19.8,32
"133","WK022.00",2,0,2.18905796429108,2,32,0.620999205631404,1.39499561434321,0.969432799520923,2,32
"134","WK023.00",2,7.1,5.15129298331565,81.6,39,2,8.49149601088507,2.88744292854809,81.6,39
"135","WK023.10",2,0,2.81690347745795,13.6,33,0.623241839275799,1.39421809257033,1.37113307756482,13.6,33
"136","WK023.20",2,0,2.42559776806327,5.60000000000001,32,0.628390920356796,1.38868528036436,1.16021746834795,5.60000000000001,32
"137","WK024.00",2,3.125,4.40239717920334,49,46,2,4.51065168519626,2.497246094535,49,46
"138","WK025.00",2,10,5.3004486351337,32,36,2,11.3773703429422,3.13755309808018,32,36
"139","WK042.00",2,0,3.19956683976352,9.46,33,0.629519549106202,1.39218036088563,1.56258421634729,9.46,33
"140","WK044.00",2,0,2.88302432631696,4,33,0.620632303736173,1.39508242647231,1.35294374757028,4,33
"141","WK044.50",2,0,2.54866531667103,3.28,33,0.61284503049144,1.40674458214097,1.14633080301576,3.28,33
"142","WK048.00",2,4,4.23322477418348,13.02,33,2,5.38324787382262,2.46863418717287,13.02,33
"143","WK052.00",2,0,2.86410081842795,5.6,33,0.629103052462835,1.38987319630689,1.35327260981452,5.6,33
"144","WK052.10",4,33,9.27696330682071,114,33,4,33,6.93927269229967,114,33
"145","WK052.80",2,13,5.07463904940479,41.6,33,2,14.3856826529621,2.8528708544803,41.6,33
"146","WK052.90",2,2,5.45640572634253,48,33,0.638366743869122,3.38513789758341,2.86891421820631,48,33
"147","WK053.00",2,7.5,4.87440272399305,36.6000000000001,82,2,8.88747406204352,2.73381511815783,36.6000000000001,82
"148","WK053.50",2,0.8,3.34998141186345,13,51,0.645540038109392,2.1896402212835,1.79358862295888,13,51
"149","WK054.50",2,0,2.5311820765453,5.6,33,0.622671306462174,0.036438372623027,0.997278713794128,5.6,33
"150","WK055.00",2,4.325,4.27295747033851,21.3,52,2,5.70508734217281,2.53401475329015,21.3,52
"151","WK056.00",2,4,4.51647722572796,35,51,0.645723103338198,5.38917348563503,2.46738912707788,35,51
"152","WK057.00",2,0,2.52867559164587,3.96,52,0.617748425304855,0.0405388948369405,0.994505911837769,3.96,52
"153","WK058.00",2,0,2.99346193030647,10,50,0.625529644159311,1.39340264411523,1.43338722964383,10,50
"154","WK059.20",2,0,2.69364048619367,7.3,51,0.616641591640788,1.39871765319586,1.18577557441874,7.3,51
"155","WK061.00",2,1.5,3.14823836910799,12,50,0.629960520596972,2.89477671881589,1.47770415528934,12,50
"156","WK063.00",2,5.3,3.59542835923726,15,53,0.637561171578412,6.70164116623021,1.90497920956611,15,53
"157","WK063.20",2,2,3.35722784728231,11.2,35,2,3.38638159742497,1.88873186896121,11.2,35
