X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
388788.455199999734759,4812712.443,663,WG005.00,P,30,30,3.9,0.46,62,15.4,31,163,43.4590600000739,-70.3746900003961,WG,d253571c-98d8-4078-a5f5-182c29adbe93
389709.693599999882281,4811794.1489,664,WG007.00,P,30,30,6.2,0.55,72,31.6,31,163,43.4509300002955,-70.3631199994844,WG,dddad05b-7e7d-4390-aa72-f39c9ec2952a
390308.790699999779463,4811308.913799999282,665,WG008.10,CA,30,30,5.2,0.63,480,34,31,163,43.4466499995612,-70.35562000021,WG,b11c7bf0-886a-43d5-bb95-8b301752bfc0
389550.011300000362098,4810593.674799999222,666,WG008.30,CA,30,30,5.8,0.63,580,38.2,31,163,43.440099999829,-70.3648499993927,WG,04494edb-f0ec-4c25-b1dc-4da2946c19a1
389158.8723,4810239.0559,667,WG008.50,CA,30,30,6.1,0.63,110,39.8,31,163,43.4368500000999,-70.369610000518,WG,15add039-f2c6-48d8-acd1-af771a88f951
388938.981800000183284,4811092.503599999472,668,WG008.60,CA,30,30,4.7,0.51,72,22.1,31,163,43.444500000113,-70.3724999997934,WG,fda8f4b6-f346-4289-849f-e42f2dfb632d
388951.420099999755621,4812142.0895,669,WG008.80,CA,30,30,4,0.45,72,15.1,31,163,43.4539499995728,-70.372560000319,WG,fc99aac0-3b48-4438-a6fc-675ca6e04de7
389646.728199999779463,4811705.197799999267,670,WG008.90,CA,30,30,3.7,0.42,42,13.1,31,163,43.4501199999007,-70.3638800000196,WG,8c7ccf6f-8b43-4235-95f7-3d848b2af750
410399.818799999542534,4851803.2586,679,WJ002.00,CA,30,30,2.7,0.38,80,8.5,31,163,43.8138700002125,-70.1140899999402,WJ,b61bc0aa-012b-453c-af86-dda07597e9ae
410066.539200000464916,4852022.1488,680,WJ002.50,CA,30,30,2.4,0.2,10,4.4,31,163,43.8157999998379,-70.1182700002582,WJ,6bb9bb34-e35a-4124-8fe7-9b5cfbea194d
410723.693699999712408,4851901.104199999943,681,WJ002.51,X,30,30,1.9,0,2,1.9,31,163,43.8147899997981,-70.1100800002519,WJ,a3d3ca90-90af-4c28-b244-57f0ad63b98c
410636.33490000013262,4852164.43769999966,682,WJ003.00,CA,30,30,2.3,0.35,144,6.6,31,163,43.8171500004135,-70.1112099996358,WJ,45425480-f677-41b0-8e8c-8ff1bf14e1d2
